001 The Alternative Rock Wedding Cocktail Hour,,,,
Tomorrow Never Knows-The Beatles,Tomorrow Never Knows,The Beatles,,
Norwegian Wood (This Bird Has Flown)-The Beatles,Norwegian Wood (This Bird Has Flown),The Beatles,,
Scarborough Fair/Canticle-Simon & Garfunkel,Scarborough Fair/Canticle,Simon & Garfunkel,,
Just Dropped In (To See What Condition My Condition Was In)-Kenny Rogers,Just Dropped In (To See What Condition My Condition Was In),Kenny Rogers,,
Strawberry Fields Forever-The Beatles,Strawberry Fields Forever,The Beatles,,
In-A-Gadda-Da-Vida-Iron Butterfly,In,A-Gadda-Da-Vida-Iron Butterfly,,
Magic Carpet Ride- Steppenwolf,Magic Carpet Ride,Steppenwolf,,
Baba O'Riley- The Who,Baba O'Riley,The Who,,
Paint it Black-The Rolling Stones,Paint it Black,The Rolling Stones,,
Fire-Jimi Hendrix,Fire,Jimi Hendrix,,
Fire On the Mountain-The Grateful Dead,Fire On the Mountain,The Grateful Dead,,
Have a Cigar-Pink Floyd,Have a Cigar,Pink Floyd,,
Strange Days-The Doors,Strange Days,The Doors,,
Livin' Thing-Electric Light Orchestra,Livin' Thing,Electric Light Orchestra,,
No Quarter-Led Zeppelin,No Quarter,Led Zeppelin,,
Nights in White Satin-The Moody Blues,Nights in White Satin,The Moody Blues,,
Fade Into You-Mazzy Star,Fade Into You,Mazzy Star,,
Holocene-Bon Iver,Holocene,Bon Iver,,
Guitar Noir-The Aqua Velvets,Guitar Noir,The Aqua Velvets,,
Be My Noir-The Mermen,Be My Noir,The Mermen,,
Parallelograms-Linda Perhacs,Parallelograms,Linda Perhacs,,
Blackhole-Beck,Blackhole,Beck,,
The End-The Doors,The End,The Doors,LENGTH,
,,,,
032 The Surf’s Up Wedding Cocktail Hour,,,,
Surfin' Safari-The Beach Boys,Surfin' Safari,The Beach Boys,,
Surf City-Jan & Dean,Surf City,Jan & Dean,,
Misirlou-Dick Dale,Misirlou,Dick Dale,,
Wipe Out-The Surfaris,Wipe Out,The Surfaris,,
Hawaii 5-0-The Ventures,Hawaii 5,0-The Ventures,,
Pipeline-Dick Dale,Pipeline,Dick Dale,,
Surfin' Bird-The Trashmen,Surfin' Bird,The Trashmen,,
Mr. Moto-The Belairs,Mr. Moto,The Belairs,,
Flamenco Surf-The Sharkskins,Flamenco Surf,The Sharkskins,,
Memory Motel-The Rolling Stones with Dave Matthews ,Memory Motel,The Rolling Stones with Dave Matthews,,
California Dreamin'-The Mamas & the Papas,California Dreamin',The Mamas & the Papas,,
Guitar Noire-The Aqua Velvets,Guitar Noire,The Aqua Velvets,,
Riders on the Storm-The Doors,Riders on the Storm,The Doors,LENGTH,
Mountain Song-Jane's Addiction,Mountain Song,Jane's Addiction,,
What's My Scene-The Hoodoo Gurus,What's My Scene,The Hoodoo Gurus,,
Beds are Burning-Midnight Oil,Beds are Burning,Midnight Oil,,
Surf Wax America-Weezer,Surf Wax America,Weezer,,
Oceans-Pearl Jam,Oceans,Pearl Jam,,
Hawai'i 78-Israel Kamakawiwo'ole,Hawai'i 78,Israel Kamakawiwo'ole,,
,,,,
033 The 90s Grunge Rock Wedding Cocktail Hour,,,,
Evenflow-Pearl Jam,Evenflow,Pearl Jam,,
Today-The Smashing Pumpkins,Today,The Smashing Pumpkins,,
Freshman-The Verve Pipe,Freshman,The Verve Pipe,,
Celebrity Skin-Hole,Celebrity Skin,Hole,,
Smells Like Teen Spirit-Nirvana,Smells Like Teen Spirit,Nirvana,,
Interstate Love Song-Stone Temple Pilots,Interstate Love Song,Stone Temple Pilots,,
Glycerine-Bush,Glycerine,Bush,,
Creep-Radiohead,Creep,Radiohead,,
Loser-Beck,Loser,Beck,,
Black Hole Sun-Soundgarden,Black Hole Sun,Soundgarden,,
Nutshell-Alice in Chains,Nutshell,Alice in Chains,,
Basket Case-Green Day,Basket Case,Green Day,,
Comedown-Bush,Comedown,Bush,,
Far Behind-Candle Box,Far Behind,Candle Box,,
Violet-Hole,Violet,Hole,,
Come As You Are-Nirvana,Come As You Are,Nirvana,,
Like a Stone-Audioslave,Like a Stone,Audioslave,,
Yellow Ledbetter-Pearl Jam,Yellow Ledbetter,Pearl Jam,,
,,,,
034 The Nice and Easy Wedding Cocktail Hour,,,,
"Truly, Madly, Deeply-Savage Garden","Truly, Madly, Deeply",Savage Garden,,
Better Together-Jack Johnson,Better Together,Jack Johnson,,
I'm Yours-Jason Mraz,I'm Yours,Jason Mraz,,
Amazed-Lonestar,Amazed,Lonestar,,
L.O.V.E.-Nat King Cole,L.O.V.E.,Nat King Cole,,
"Quando, Quando, Quando-Michael Buble & Nelly Furtado","Quando, Quando, Quando",Michael Buble & Nelly Furtado,,
Save Room-John Legend,Save Room,John Legend,,
By Your Side-Sade,By Your Side,Sade,,
Lovesong-The Cure,Lovesong,The Cure,,
You are the Best Thing-Ray Lamontagne,You are the Best Thing,Ray Lamontagne,,
You Make My Dreams-Hall & Oates,You Make My Dreams,Hall & Oates,,
Only Time-Enya,Only Time,Enya,,
Over the Rainbow-Israel Kamakawiwo'ole,Over the Rainbow,Israel Kamakawiwo'ole,,
In the Air Tonight-Phil Collins,In the Air Tonight,Phil Collins,,
,,,,
035 The Savannah Southern Charm Wedding Cocktail Hour,,,,
Into the Mystic-Van Morrison,Into the Mystic,Van Morrison,,
Better Together-Jack Johnson,Better Together,Jack Johnson,,
Southern Girl-Amos Lee,Southern Girl,Amos Lee,,
Summer Wind-Frank Sinatra,Summer Wind,Frank Sinatra,,
Moon River-Johnny Mercer,Moon River,Johnny Mercer,,
The Heart of Life-John Mayer,The Heart of Life,John Mayer,,
Hey Pretty Girl-Kip Moore,Hey Pretty Girl,Kip Moore,,
Forever-Ben Harper,Forever,Ben Harper,,
Georgia on My Mind-Ray Charles,Georgia on My Mind,Ray Charles,,
That's How Strong My Love Is-Otis Redding,That's How Strong My Love Is,Otis Redding,,
Midnight Train to Georgia-Gladys Knight & the Pips,Midnight Train to Georgia,Gladys Knight & the Pips,,
Shower the People-James Taylor,Shower the People,James Taylor,,
Blackbird-The Beatles,Blackbird,The Beatles,,
L-O-V-E-Nat King Cole,L,O-V-E-Nat King Cole,,
The Nearness of You-Norah Jones,The Nearness of You,Norah Jones,,
Sweet Pea-Amos Lee,Sweet Pea,Amos Lee,,
You Are the Best Thing-Ray LaMontagne,You Are the Best Thing,Ray LaMontagne,,
I and Love and You-The Avett Brothers,I and Love and You,The Avett Brothers,,
I Can't Wait (Be My Wife)-Ben Rue,I Can't Wait (Be My Wife),Ben Rue,,
I Do-Colbie Caillat,I Do,Colbie Caillat,,
,,,,
036 The All Covers Version Wedding Cocktail Hour (Volume 1),,,,
"Red, Red Wine-UB40 (original version Neil Diamond)","Red, Red Wine",UB40 (original version Neil Diamond),,
Lovesong-311 (original version The Cure),Lovesong,311 (original version The Cure),,
Sea of Love-The Honeydrippers (original version Phil Phillips),Sea of Love,The Honeydrippers (original version Phil Phillips),,
Brown Eyed Girl-Jimmy Buffett (original version Van Morrison),Brown Eyed Girl,Jimmy Buffett (original version Van Morrison),,
The Man Who Sold the World-Nirvana (original version David Bowie),The Man Who Sold the World,Nirvana (original version David Bowie),,
This Must Be the Place (Naive Melody)-Michael Jerome Browne (original version The Talking Heads),This Must Be the Place (Naive Melody),Michael Jerome Browne (original version The Talking Heads),,
The Girl from Ipanema-Amy Winehouse (original version sung by Pery Ribeiro and later popularized by Astrud Gilberto w/ Joao Gilberto and Stan Getz),The Girl from Ipanema,Amy Winehouse (original version sung by Pery Ribeiro and later popularized by Astrud Gilberto w/ Joao Gilberto and Stan Getz),LYRICS,
"Beyond the Sea-Kevin Spacey (original song by Charles Trenet, but popularized by Bobby Darin)",Beyond the Sea,"Kevin Spacey (original song by Charles Trenet, but popularized by Bobby Darin)",,
Make You Feel My Love-Adele (original version Bob Dylan),Make You Feel My Love,Adele (original version Bob Dylan),,
Killing Me Softly-The Fugees (original version Roberta Flack),Killing Me Softly,The Fugees (original version Roberta Flack),,
Fields of Gold-Eva Cassidy (original version Sting),Fields of Gold,Eva Cassidy (original version Sting),,
You Send Me-Aretha Franklin (original version Sam Cooke),You Send Me,Aretha Franklin (original version Sam Cooke),,
Here I Am (Come and Take Me)-Seal (original version Al Green),Here I Am (Come and Take Me),Seal (original version Al Green),,
Cruisin’-D’Angelo (original version Smokey Robinson),Cruisin’,D’Angelo (original version Smokey Robinson),lYRICS,
I Only Have Eyes for You-Jamie Cullum (original version The Flamingos),I Only Have Eyes for You,Jamie Cullum (original version The Flamingos),,
Always on My Mind-Michael Buble (original version Willie Nelson),Always on My Mind,Michael Buble (original version Willie Nelson),,
Hotel California-The Gipsy Kings (Spanish Mix) (original version The Eagles),Hotel California,The Gipsy Kings (Spanish Mix) (original version The Eagles),,
Wagon Wheel-Darius Rucker (originally sketched by Bob Dylan and later refined by Old Crow Medicine Show),Wagon Wheel,Darius Rucker (originally sketched by Bob Dylan and later refined by Old Crow Medicine Show),,
All the Best-My Morning Jacket (original version John Prine),All the Best,My Morning Jacket (original version John Prine),,
Cherish the Day-Robert Glasper & Lalah Hathaway (original version Sade),Cherish the Day,Robert Glasper & Lalah Hathaway (original version Sade),,
Into the Mystic-The Wallflowers (original version Van Morrison),Into the Mystic,The Wallflowers (original version Van Morrison),,
The Scientist-Aimee Mann (original version Coldplay),The Scientist,Aimee Mann (original version Coldplay),LIVE,
"I Heard It Through the Grapevine-Creedence, Clearwater Revival (original version Marvin Gaye)",I Heard It Through the Grapevine,"Creedence, Clearwater Revival (original version Marvin Gaye)",,
Feelin’ Alright-Joe Cocker (original version Traffic),Feelin’ Alright,Joe Cocker (original version Traffic),,
,,,,
037 The Giants of Jazz Wedding Cocktail Hour,,,,
My One and Only Love-John Coltrane,My One and Only Love,John Coltrane,,
On Green Dolphin Street-Miles Davis,On Green Dolphin Street,Miles Davis,LENGTH,
Confirmation-Charlie Parker,Confirmation,Charlie Parker,,
A Night in Tunisia-Dizzy Gillespie,A Night in Tunisia,Dizzy Gillespie,,
Caravan-Wynton Marsalis,Caravan,Wynton Marsalis,lENGTH,
Bumpin' on Sunset-Wes Montgomery,Bumpin' on Sunset,Wes Montgomery,,
Somewher Over the Rainbow-Chet Baker,Somewher Over the Rainbow,Chet Baker,,
Satin Doll-McCoy Tyner,Satin Doll,McCoy Tyner,,
The Shadow of Your Smile-Oscar Peterson,The Shadow of Your Smile,Oscar Peterson,,
Take Five-Dave Brubeck (famous for its distinctive 5/4 time),Take Five,Dave Brubeck (famous for its distinctive 5/4 time),,
Black Orpheus-Paul Desmond,Black Orpheus,Paul Desmond,,
Waltz for Debby-Bill Evans,Waltz for Debby,Bill Evans,,
Nice Work if You Can Get It-Thelonius Monk,Nice Work if You Can Get It,Thelonius Monk,,
Wave-Ahmad Jamal,Wave,Ahmad Jamal,,
Desafinado-Stan Getz,Desafinado,Stan Getz,lENGTH,
Chitlins Con Carne-Kenny Burrell,Chitlins Con Carne,Kenny Burrell,lENGTH,
Senor Blues-Horace Silver,Senor Blues,Horace Silver,lENGTH,
Organ Grinder's Swing-Sonny Rollins,Organ Grinder's Swing,Sonny Rollins,,
Double Bass-Ron Carter,Double Bass,Ron Carter,,
You Go To My Head-Billie Holiday,You Go To My Head,Billie Holiday,,
Misty-Sara Vaughan,Misty,Sara Vaughan,,
My Baby Just Cares for Me-Nina Simone,My Baby Just Cares for Me,Nina Simone,,
,,,,
038 The Smooth Jazz Wedding Cocktail Hour,,,,
Chord-Sweetback,Chord,Sweetback,,
Songbird-Kenny G.,Songbird,Kenny G.,,
Europa (Earth's Cry Heaven's Smile)-Gato Barbieri,Europa (Earth's Cry Heaven's Smile),Gato Barbieri,,
Miami Overnight-Chris Botti,Miami Overnight,Chris Botti,,
It's All Good-Boney James,It's All Good,Boney James,,
Q.T.-Richard Eliot,Q.T.,Richard Eliot,,
Tequila Moon-Jessy J.,Tequila Moon,Jessy J.,,
Smooth Sensation-Ken Navarro,Smooth Sensation,Ken Navarro,,
Let's Get it Started-Brian Culbertson,Let's Get it Started,Brian Culbertson,,
"Make Me a Memory (Sad Samba)-Grover Washington, Jr.",Make Me a Memory (Sad Samba),"Grover Washington, Jr.",,
Stairway to Heaven-Stanley Jordan,Stairway to Heaven,Stanley Jordan,,
Breezin'-George Benson,Breezin',George Benson,,
For the Love of You-Norman Brown,For the Love of You,Norman Brown,,
Riders on the Storm-Tribaljazz,Riders on the Storm,Tribaljazz,,
Tutu-Miles Davis,Tutu,Miles Davis,,
We're in this Love Together-Al Jarreau,We're in this Love Together,Al Jarreau,,
Since I Fell For You-Bob James,Since I Fell For You,Bob James,,
Mornin'-George Benson,Mornin',George Benson,,
Break for the Border-Acoustic Alchemy,Break for the Border,Acoustic Alchemy,,
Trippin Rhythm-Paul Hardcastle,Trippin Rhythm,Paul Hardcastle,,
,,,,
039 The Vintage Soul Wedding Cocktail Hour,,,,
Tweedle Dee-Laverne Baker,Tweedle Dee,Laverne Baker,,
"Baby, Baby, Baby-Aretha Franklin","Baby, Baby, Baby",Aretha Franklin,,
Love and Happiness-Al Green,Love and Happiness,Al Green,,
That's How Strong My Love Is-Otis Redding,That's How Strong My Love Is,Otis Redding,,
My Baby Just Cares for Me-Nina Simone,My Baby Just Cares for Me,Nina Simone,,
Lovely Day-Bill Withers,Lovely Day,Bill Withers,,
Cry to Me-Solomon Burke,Cry to Me,Solomon Burke,,
Be Thankful for What You Got-William DeVaughn,Be Thankful for What You Got,William DeVaughn,,
Express Yourself-Charles Wright & The Watts 103rd Street Band,Express Yourself,Charles Wright & The Watts 103rd Street Band,,
I'll Come Running Back to You-Sam Cooke,I'll Come Running Back to You,Sam Cooke,,
The Tracks of My Tears-Smokey Robinson,The Tracks of My Tears,Smokey Robinson,,
Pretty Thing-Bo Diddley,Pretty Thing,Bo Diddley,,
Fever-Little Willie John,Fever,Little Willie John,,
Give Me Your Love-The Sisters Love,Give Me Your Love,The Sisters Love,,
You're All I Need To Get By-Marvin Gaye & Tammi Terrell,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,,
What a Man-Linda Lyndell,What a Man,Linda Lyndell,,
,,,,
040 The Acquired Taste Wedding Cocktail Hour,,,,
Never Forget You-Noisettes,Never Forget You,Noisettes,,
Our Day Will Come-Amy Winehouse,Our Day Will Come,Amy Winehouse,LYRICS,
Samba Joga Bonito (Mas Que Nada)-Sergio Mendes &The Black Eyed Peas,Samba Joga Bonito (Mas Que Nada),Sergio Mendes &The Black Eyed Peas,,
Back to Life-Soul II Soul,Back to Life,Soul II Soul,,
Doesn't Mean Anything-Alicia Keys,Doesn't Mean Anything,Alicia Keys,,
How Long Do I Have to Wait?-Sharon Jones & Dap Kings,How Long Do I Have to Wait?,Sharon Jones & Dap Kings,,
"Ooh Wee-Mark Ronson ft. Ghostface Killah, Nate Dogg, Trife & Saigon",Ooh Wee,"Mark Ronson ft. Ghostface Killah, Nate Dogg, Trife & Saigon",,
Alright-Jamiroquai,Alright,Jamiroquai,,
Yeah Yeah-Willy Moon,Yeah Yeah,Willy Moon,,
Magic-Robin Thicke,Magic,Robin Thicke,,
"Bright Lights, Bigger City-Cee Lo Green","Bright Lights, Bigger City",Cee Lo Green,,
Back it Up-Caro Emerald,Back it Up,Caro Emerald,,
Johnny Got a Boom Boom-Imelda May,Johnny Got a Boom Boom,Imelda May,,
I Can't Go for That (No Can Do)-Hall & Oates,I Can't Go for That (No Can Do),Hall & Oates,,
Deeper Shade of Soul-Urban Dance Squad,Deeper Shade of Soul,Urban Dance Squad,,
Sandcastle Disco-Solange,Sandcastle Disco,Solange,,
Last Train to London-Electric Light Orchestra,Last Train to London,Electric Light Orchestra,,
,,,,
041 The Jamaican Love Song Wedding Cocktail Hour,,,,
No Ordinary Love-Alaine,No Ordinary Love,Alaine,,
Unconditional Love-Jah Cure,Unconditional Love,Jah Cure,,
Love Forever-Cynthia Schloss,Love Forever,Cynthia Schloss,,
I Can't Wait-Sanchez,I Can't Wait,Sanchez,,
Perfect Proposal-Wayne Wonder,Perfect Proposal,Wayne Wonder,,
Holiday-Maxi Priest,Holiday,Maxi Priest,,
Love Has Found Its Way-Dennis Brown,Love Has Found Its Way,Dennis Brown,,
It Must Be Love-Carlene Davis,It Must Be Love,Carlene Davis,,
Someone Loves You Honey-J.C. Lodge,Someone Loves You Honey,J.C. Lodge,,
I Wanna Wake Up With You-Boris Gardiner,I Wanna Wake Up With You,Boris Gardiner,,
Just Don't Want to be Lonely-Freddie McGregor,Just Don't Want to be Lonely,Freddie McGregor,,
You Make Me Happy-Alton Ellis,You Make Me Happy,Alton Ellis,,
She's Mine-Barrington Levy,She's Mine,Barrington Levy,,
Your Love Gotta Hold On Me-Dennis Brown,Your Love Gotta Hold On Me,Dennis Brown,,
Deep in My Heart-Marcia Griffiths,Deep in My Heart,Marcia Griffiths,,
Nothing Can Divide Us-Garnett Silk,Nothing Can Divide Us,Garnett Silk,,
,,,,
042 The Motown Wedding Cocktail Hour,,,,
My Girl-The Temptations,My Girl,The Temptations,,
My Guy-Mary Wells,My Guy,Mary Wells,,
Ain't No Mountain High Enough-Diana Ross,Ain't No Mountain High Enough,Diana Ross,,
You're All I Need To Get By-Marvin Gaye & Tammi Terrell,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,,
Baby I Need Your Loving-The Four Tops,Baby I Need Your Loving,The Four Tops,,
Cruisin'-Smokey Robinson,Cruisin',Smokey Robinson,,
Got to Be There-Michael Jackson,Got to Be There,Michael Jackson,,
Endless Love-Diana Ross & Lionel Richie,Endless Love,Diana Ross & Lionel Richie,,
Heard It Through the Grapevine-Gladys Knight,Heard It Through the Grapevine,Gladys Knight,,
Uptight (Everything's Alright)-Stevie Wonder,Uptight (Everything's Alright),Stevie Wonder,,
Dancing in the Streets-Martha & the Vandellas,Dancing in the Streets,Martha & the Vandellas,,
How Sweet It Is (To Be Loved By You)-Marvin Gaye,How Sweet It Is (To Be Loved By You),Marvin Gaye,,
Mickey's Monkey-Smokey Robinson & the Miracles,Mickey's Monkey,Smokey Robinson & the Miracles,,
ABC-The Jackson Five,ABC,The Jackson Five,,
Do I Do-Stevie Wonder,Do I Do,Stevie Wonder,,
All Night Long-Lionel Richie,All Night Long,Lionel Richie,,
Rhythm of the Night-Debarge,Rhythm of the Night,Debarge,,
I Need Your Lovin'-Teena Marie,I Need Your Lovin',Teena Marie,,
,,,,
043 The All-Broadway Wedding Cocktail Hour,,,,
A Weekend in the Country-A Little Night Music,A Weekend in the Country,A Little Night Music,,
The Flesh Failures (Let the Sunshine In)-HAIR,The Flesh Failures (Let the Sunshine In),HAIR,,
Move On-Sunday in the Park with George,Move On,Sunday in the Park with George,,
Defying Gravity-Wicked,Defying Gravity,Wicked,,
"Hello Dolly!-Hello, Dolly!",Hello Dolly!,"Hello, Dolly!",,
La Vie Boheme-RENT,La Vie Boheme,RENT,LENGTH,
Nobody's Side-Chess,Nobody's Side,Chess,,
Oklahoma!-Oklahoma!,Oklahoma!,Oklahoma!,,
Lullaby of Broadway-42nd Street,Lullaby of Broadway,42nd Street,,
"Don’t Cry for Me, Argentina-EVITA","Don’t Cry for Me, Argentina",EVITA,,
Why We Tell the Story-Once On This Island,Why We Tell the Story,Once On This Island,,
For Now-Avenue Q,For Now,Avenue Q,LYRICS,
You can’t stop the Beat-Hairspray,You can’t stop the Beat,Hairspray,,
Heaven on Their Minds-Jesus Christ Superstar,Heaven on Their Minds,Jesus Christ Superstar,,
Suddenly Seymour-Little Shop of Horrors,Suddenly Seymour,Little Shop of Horrors,,
Seasons of Love-RENT,Seasons of Love,RENT,,
Wheels of a Dream-Ragtime,Wheels of a Dream,Ragtime,,
Sit Down You’re Rocking the Boat-Guys and Dolls,Sit Down You’re Rocking the Boat,Guys and Dolls,,
Circle of Life-The Lion King,Circle of Life,The Lion King,,
,,,,
044 The Fifty Shades of Grey Wedding Cocktail Hour,,,,
Egyptian Disco (Buddha Bar Edit)-DJ Disse,Egyptian Disco (Buddha Bar Edit),DJ Disse,,
Aaja Piya-Devika and Holmes Ives,Aaja Piya,Devika and Holmes Ives,,
Sexual Healing-Marvin Gaye,Sexual Healing,Marvin Gaye,,
Breakfast Can Wait-Prince,Breakfast Can Wait,Prince,,
I Can't Help It-Michael Jackson,I Can't Help It,Michael Jackson,,
Sign Your Name-Terence Trent D'Arby,Sign Your Name,Terence Trent D'Arby,,
Sweeter Love (Jay's Full Vocal Edit)-Blue 6,Sweeter Love (Jay's Full Vocal Edit),Blue 6,,
I'll Never Dream-Kaskade,I'll Never Dream,Kaskade,,
Turn Me On-Black Coffee,Turn Me On,Black Coffee,,
Waiting for Your Love-Onda,Waiting for Your Love,Onda,,
Sugar-Maroon 5,Sugar,Maroon 5,,
Drunk in Love (DJ Scooter Remix)-Beyonce,Drunk in Love (DJ Scooter Remix),Beyonce,,
Uptown Funk-Mark Ronson f/ Bruno Mars,Uptown Funk,Mark Ronson f/ Bruno Mars,LYRICS,
"Spank-Jimmy ""Bo"" Horne",Spank,"Jimmy ""Bo"" Horne",,
S&M-Rihanna,S&M,Rihanna,,
Love to See You Cry-Enrique,Love to See You Cry,Enrique,,
Rapture (Deep Dish Remix)-Iio,Rapture (Deep Dish Remix),Iio,,
Sexual (li da di) (Prelife Ambient Mix)-Amber,Sexual (li da di) (Prelife Ambient Mix),Amber,,
Sweet Surrender (DJ Tiesto Remix)-Sarah McLachlan,Sweet Surrender (DJ Tiesto Remix),Sarah McLachlan,,
,,,,
045 The Hip Hop Wedding Cocktail Hour,,,,
I'll Be There For You / You're All I Need To Get By (Razor Sharp Mix)-Method Man,I'll Be There For You / You're All I Need To Get By (Razor Sharp Mix),Method Man,LYRICS,
White Dress -Kanye West,White Dress,Kanye West,,
Cherry Wine-Nas & Amy Winehouse,Cherry Wine,Nas & Amy Winehouse,,
Into You-Fabolous f/ Tamia,Into You,Fabolous f/ Tamia,,
Bonita Applebum-A Tribe Called Quest,Bonita Applebum,A Tribe Called Quest,lYRICS,
Nuttin' But Love-Heavy D & The Boyz,Nuttin' But Love,Heavy D & The Boyz,,
Whatta Man-Salt n Pepa,Whatta Man,Salt n Pepa,,
Albany-Kev Brown,Albany,Kev Brown,,
Gotta Man-Eve,Gotta Man,Eve,,
Come Close-Common,Come Close,Common,,
We Know-Talib Kweli & Faith Evans,We Know,Talib Kweli & Faith Evans,,
My Beloved-Brother Ali,My Beloved,Brother Ali,,
Best I Ever Had -Drake,Best I Ever Had,Drake,,
Right by my Side -Nicky Minaj & Chris Brown,Right by my Side,Nicky Minaj & Chris Brown,,
What You Want-Ma$e,What You Want,Ma$e,,
Nuthin' On You-B.O.B & Bruno Mars,Nuthin' On You,B.O.B & Bruno Mars,,
Wanna Get to Know Ya-G-Unit,Wanna Get to Know Ya,G-Unit,,
Put it on Me-Ja Rule & Lil' Mo,Put it on Me,Ja Rule & Lil' Mo,,
,,,,
046 The Tropical Trade Winds Wedding Cocktail Hour,,,,
I Feel Good- Beres Hammond,I Feel Good,Beres Hammond,,
Falling In Love- Glen Ricks,Falling In Love,Glen Ricks,,
I’m Still In Love With You- Sean Paul,I’m Still In Love With You,Sean Paul,,
Land Of Love- Marcia Griffiths,Land Of Love,Marcia Griffiths,,
Night Nurse- Gregory Isaacs,Night Nurse,Gregory Isaacs,,
Someone Loves You Honey- J.C. Lodge,Someone Loves You Honey,J.C. Lodge,,
Everything I Own- Ken Boothe,Everything I Own,Ken Boothe,,
Pa Manyen Fanm Nan-Sweet Micky,Pa Manyen Fanm Nan,Sweet Micky,,
Stir It Up- Bob Marley,Stir It Up,Bob Marley,,
Mr. Loverman- Shabba Ranks,Mr. Loverman,Shabba Ranks,,
Knocking On Heaven’s Door- Ed Robinson,Knocking On Heaven’s Door,Ed Robinson,,
Believe in Love- Maxi Priest,Believe in Love,Maxi Priest,,
What About Tomorrow-Nu-Look,What About Tomorrow,Nu-Look,,
Amazing- Alaine,Amazing,Alaine,,
Hold My Hand- Sean Paul,Hold My Hand,Sean Paul,,
No Letting Go- Wayne Wonder,No Letting Go,Wayne Wonder,,
Manyen’ W-Zin,Manyen’ W,Zin,,
Life Is So Precious- Cecile,Life Is So Precious,Cecile,,
Smile- Sugar Minott,Smile,Sugar Minott,,
Na Let Go-Gyptian,Na Let Go,Gyptian,,
Amelie-Tabou Combo,Amelie,Tabou Combo,,
,,,,
047 The Reggae Wedding Cocktail Hour,,,,
Rastaman Chant-Bob Marley & Busta Rhymes,Rastaman Chant,Bob Marley & Busta Rhymes,,
Your House-Steel Pulse,Your House,Steel Pulse,,
Black Roses-Barrington Levy,Black Roses,Barrington Levy,,
Sponji Reggae-Black Uhuru,Sponji Reggae,Black Uhuru,,
"Khaki Suit-Damien ""Jr. Gong"" Marley",Khaki Suit,"Damien ""Jr. Gong"" Marley",,
Bam Bam-Sister Nancy,Bam Bam,Sister Nancy,,
You Don't Love Me-Dawn Penn,You Don't Love Me,Dawn Penn,,
I Would Do For You-Slightly Stoopid,I Would Do For You,Slightly Stoopid,,
Ganja Farmer-Marlon Asha,Ganja Farmer,Marlon Asha,,
My Grade-Da 'Ville,My Grade,Da 'Ville,,
Solid as a Rock-Sizzla,Solid as a Rock,Sizzla,LYRICS,
Make Some Music-Ziggy Marley,Make Some Music,Ziggy Marley,,
Tell Me is it True-UB40,Tell Me is it True,UB40,,
We Do the Killing-Cocoa Tea,We Do the Killing,Cocoa Tea,,
Night Nurse-Gregory Isaacs,Night Nurse,Gregory Isaacs,,
96 Degrees in the Shade-Third World,96 Degrees in the Shade,Third World,,
Don't Haffi Dread-Morgan Heritage,Don't Haffi Dread,Morgan Heritage,,
The Rivers of Babylon-The Melodians,The Rivers of Babylon,The Melodians,,
,,,,
048 The Mellow Country Rock Wedding Cocktail Hour,,,,
"Peaceful, Easy Feeling-The Eagles","Peaceful, Easy Feeling",The Eagles,,
Melissa-The Allman Brothers Band,Melissa,The Allman Brothers Band,,
Make It With You-Bread,Make It With You,Bread,,
Summer Breeze-Seals and Crofts,Summer Breeze,Seals and Crofts,,
Wagon Wheel-Old Crow Medicine Show,Wagon Wheel,Old Crow Medicine Show,,
"Far, Far Away-Wilco","Far, Far Away",Wilco,,
"Teach Your Children-Crosby, Stills, and Nash",Teach Your Children,"Crosby, Stills, and Nash",,
Please Read the Letter-Alison Krauss,Please Read the Letter,Alison Krauss,,
I'd Really Love to See You Tonight-England Dan & John Ford Coley,I'd Really Love to See You Tonight,England Dan & John Ford Coley,,
Amie-Pure Prairie League,Amie,Pure Prairie League,,
Stuck in the Middle-Stealers Wheel,Stuck in the Middle,Stealers Wheel,,
Learning to Fly-Tom Petty,Learning to Fly,Tom Petty,,
Drift Away-Uncle Kracker,Drift Away,Uncle Kracker,,
Sugar Magnolia-The Grateful Dead,Sugar Magnolia,The Grateful Dead,,
Ventura Highway-America,Ventura Highway,America,,
You Can Do Magic-America,You Can Do Magic,America,,
Mrs. Robinson-Simon & Garfunkel,Mrs. Robinson,Simon & Garfunkel,,
Lay Down Sally-Eric Clapton,Lay Down Sally,Eric Clapton,,
Heaven-Los Lonely Boys,Heaven,Los Lonely Boys,,
Black Velvet-Alannah Myles,Black Velvet,Alannah Myles,,
,,,,
049 The Space Travelers Wedding Cocktail Hour,,,,
Space Maker-Air (electronic),Space Maker,Air (electronic),,
Rocket Man-Elton John (pop),Rocket Man,Elton John (pop),,
Under the Milky Way-The Church (80s/New Wave),Under the Milky Way,The Church (80s/New Wave),,
The Scientist-Coldplay (alternative rock),The Scientist,Coldplay (alternative rock),,
Vincent-Don McLean (folk),Vincent,Don McLean (folk),,
Rachel's Song-Vangelis (classical/soundtrack),Rachel's Song,Vangelis (classical/soundtrack),,
Walking on the Moon-The Police (rock),Walking on the Moon,The Police (rock),,
